danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.494;0.425;-5.317;0.0746;0.848;5.12e-05;0.0895;0.275;66.602;3HY9qrtAKtobL2nCQ535h0;180346
0.641;0.842;-7.27;0.0292;0.134;0.911;0.419;0.499;129.978;61OJxhoY3Ix50rYVKo8zRK;278769
0.742;0.421;-8.574;0.0977;0.537;0.897;0.107;0.4;140.028;1Lmatgu8pg0p9PMxcxtU5d;105000
0.712;0.442;-9.097;0.679;0.274;0.0;0.0943;0.176;143.451;0Zf6XBkEVhs8TRaMaOpo8v;61022
0.736;0.449;-11.462;0.425;0.33;0.000162;0.0898;0.326;80.126;152lZdxL1OR0ZMW6KquMif;219080
0.861;0.33;-7.194;0.0526;0.627;1.93e-06;0.14;0.718;95.016;66wkCYWlXzSTQAfnsPBptt;216000
0.597;0.45;-6.658;0.0418;0.223;0.0;0.382;0.537;178.765;4HBZA5flZLE435QTztThqH;228482
0.654;0.501;-9.35;0.116;0.389;0.000613;0.158;0.878;171.979;2Ql1MJFFrVppm785JjjFe7;224800
0.747;0.738;-11.759;0.0525;0.134;0.87;0.103;0.708;93.011;2BgzdxU4uN5Ns8yM2rlLHa;113499
0.687;0.522;-9.914;0.367;0.928;0.0255;0.118;0.404;169.962;4DaXff4O24VWggRbnX2D7h;160967
0.744;0.378;-10.951;0.114;0.38;3.42e-06;0.308;0.072;100.016;42D23b03WyytZzHZotoUWy;96000
0.638;0.901;-5.514;0.0396;0.0198;0.0841;0.0758;0.966;89.998;2VohZBjF7cVEcy9vSP74RI;310000
0.812;0.519;-4.823;0.0385;0.379;0.0;0.13;0.554;104.954;4a6q8CR2hzLk2plDkSxkfD;165714
0.688;0.813;-4.596;0.178;0.421;1.8e-06;0.121;0.715;93.983;4JcfDrtQWE45N1X4MkcbiV;132747
0.357;0.425;-7.301;0.0333;0.584;0.0;0.322;0.27;102.078;4xqrdfXkTW4T0RauPLv3WA;198040
0.613;0.669;-6.049;0.156;0.1;0.0;0.281;0.599;80.033;7nnz5nWr6iHtiEhH3a22HH;190877
0.546;0.221;-8.915;0.063;0.868;0.0;0.0994;0.593;128.144;5nJzWhlrBfn3cfDLlaAgAO;181505
0.763;0.301;-9.57;0.041;0.86;0.00306;0.1;0.285;81.658;3Mf7Urc7xycdyG0UrQdEM7;150001
0.546;0.281;-13.951;0.0943;0.815;0.935;0.113;0.0752;83.897;5ANNldH3mVR5Wg6JzRl3dS;114420
0.61;0.21;-14.889;0.0786;0.965;0.917;0.102;0.0412;175.929;1V6buaeWQxZf2Zutvnu7yx;109148
0.864;0.682;-6.73;0.386;0.208;5.27e-06;0.1;0.268;115.012;38spM0LahLUfQhOMAqA7AI;268087
0.712;0.217;-12.944;0.0813;0.846;5.61e-05;0.265;0.468;136.986;1IlBPaXuM7Fl6tiH9CPQlQ;231448
0.474;0.187;-12.77;0.0289;0.909;0.00759;0.118;0.116;110.306;2H3xzzEnqplPFBEj3WfKWI;316511
0.549;0.636;-3.923;0.376;0.395;0.0;0.0974;0.661;182.363;7jdzEA44GdSp4laVCF3Ztw;251547
0.664;0.194;-15.487;0.0357;0.909;3.85e-05;0.0829;0.443;129.863;3898C4AbdbptwYet6547e5;321827
0.413;0.219;-18.667;0.0397;0.903;0.00386;0.112;0.31;101.541;4JA89bJXOUl8OaGDkrhaoi;388640
0.768;0.339;-13.169;0.777;0.608;0.000956;0.261;0.568;76.229;0qUcpOOna3kkrwfqky85e1;154599
0.676;0.0674;-13.899;0.0703;0.841;0.942;0.121;0.214;77.037;7zkA4TSmYO1Bko2PnFn0YB;134026
0.116;0.059;-26.632;0.0446;0.983;0.913;0.152;0.0393;94.137;59eTbibtvvBIGj27eN3zqq;214987
0.724;0.268;-15.384;0.0403;0.829;0.000528;0.492;0.599;86.727;0AmPp1dsvdWFNTBs0nJBsC;519707
0.833;0.199;-13.781;0.0518;0.941;0.907;0.114;0.831;110.689;3ctsORVoVEDUxLpQAL0zOC;168720
0.575;0.43;-13.168;0.0363;0.822;0.000661;0.115;0.427;82.691;7xzMrUmlooPa1Fmp88hlYc;293640
0.547;0.2;-16.734;0.0392;0.826;3.84e-05;0.135;0.551;91.768;3eg6Yi9x0gN3k4nD4h6il3;182973
0.693;0.4;-11.631;0.0319;0.903;0.803;0.0986;0.573;117.954;4r7iDEGdW2Gw9hJlCbi5qL;204507
0.732;0.555;-7.973;0.0326;0.627;0.0;0.112;0.73;114.982;1jecO8NeYLsVWVptITz4c1;206612
0.823;0.8;-7.198;0.0419;0.614;0.0;0.0934;0.969;126.315;1BLXxFPDL2BT37nHKD7KrA;180174
0.797;0.105;-16.881;0.0969;0.885;0.000116;0.108;0.419;122.545;4fHDlIntTsRGSyTg5UYZYC;183133
0.757;0.546;-9.115;0.0316;0.793;0.000471;0.0613;0.596;115.054;62j7eQ0sw6abpz87MaCqX5;184040
0.334;0.397;-7.993;0.0284;0.558;0.0774;0.126;0.035;93.445;0u4rkpmNtgcFxYHepnVF4v;273107
0.413;0.232;-11.87;0.0371;0.928;3.15e-05;0.155;0.134;93.661;72cq3rZCIEYaq1TM8y5LBQ;270003
0.733;0.686;-9.118;0.0716;0.0386;0.0;0.0744;0.791;101.972;05XWcRAj9im1cuTFTNjtpY;188240
0.56;0.372;-14.446;0.179;0.698;0.0;0.198;0.773;158.217;4FpA7X9xYFYHVvhmTgcJhb;163107
0.435;0.366;-8.009;0.0286;0.486;0.00124;0.112;0.204;94.714;2YrrqkKoOZJuJNEfDc3CP2;220587
0.561;0.681;-7.633;0.0299;0.16;0.0132;0.106;0.62;87.262;4kyKnNbxFe86MMeV4xpDL8;301453
0.772;0.823;-4.987;0.0932;0.546;0.0573;0.203;0.891;129.493;2YHAWQbkx7a8cgQVR8yDGO;126040
0.748;0.466;-14.149;0.0366;0.0542;6.21e-06;0.241;0.891;115.045;2tr24VBF280hvO14tSNBEO;296507
0.711;0.586;-9.78;0.0514;0.435;6.48e-06;0.15;0.931;124.058;6g5qyQrAcoBX4X7XjxBoTO;148507
0.39;0.302;-8.687;0.0321;0.984;0.0;0.0871;0.422;82.52;4FmiciU3ZmfgABlbCSXcWw;186973
0.427;0.458;-12.863;0.0407;0.289;0.00107;0.239;0.423;129.303;7cUKT1Wiwve4E5iRFOLVmz;149240
0.442;0.528;-9.269;0.0562;0.565;0.029;0.0944;0.233;132.932;3aeTez7UBt10nc6gn4Xa7u;311537
0.758;0.337;-9.776;0.0494;0.71;1.94e-05;0.165;0.368;93.01;7rgvhF2a3WjRkRtx2lndyc;239835
0.72;0.558;-7.561;0.0417;0.318;0.00375;0.156;0.357;88.299;1TRXyuei4Nzc5wAkzHd123;212391
0.622;0.166;-13.555;0.0456;0.962;0.000255;0.0911;0.145;95.784;4gQRvISGFcf9zKowPzd7M6;157949
0.274;0.348;-8.631;0.0293;0.547;0.0133;0.334;0.328;87.43;4Hhv2vrOTy89HFRcjU3QOx;179693
0.535;0.306;-15.409;0.0735;0.963;0.0938;0.132;0.578;98.975;3EqTsPgglxIsFiijwe1qQ5;238880
0.784;0.381;-11.446;0.0739;0.394;0.0158;0.268;0.185;122.026;0kKrJbP4oATz98qQp2iXeC;357357
0.552;0.608;-9.786;0.0345;0.352;0.0;0.0533;0.637;112.367;4s6LhHAV5SEsOV0lC2tjvJ;162373
0.637;0.509;-7.985;0.38;0.574;0.0;0.154;0.461;94.202;5iVGN1Th2DqyWVNIBM8Vwk;187933
0.691;0.67;-4.471;0.0644;0.258;0.764;0.117;0.22;170.066;3l75jB2gKi4VpgklWIbTOz;226168
0.469;0.256;-13.662;0.207;0.97;0.000172;0.0707;0.392;88.745;7d764yeYwCDr6injUcEh18;104349
0.57;0.652;-5.714;0.375;0.692;0.0;0.114;0.306;82.294;057AQe3y9GuU9OUQEp0dL2;198635
0.71;0.496;-9.079;0.0426;0.644;0.0;0.138;0.535;129.998;55cV2Qh2VvKi70Sm1GWoI3;243173
0.644;0.107;-16.936;0.0617;0.531;0.795;0.296;0.684;126.565;0iE3yFTHhxaSl0IIyUpxdE;208588
0.396;0.496;-11.728;0.0356;0.833;0.00534;0.0996;0.679;165.647;5sbw5zIz9ck2pOEDXUR0QU;256653
0.559;0.307;-10.974;0.0905;0.866;0.0;0.118;0.46;96.843;3GyNqFl1vFkcoNgmWtI9w6;194907
0.668;0.605;-7.608;0.0454;0.336;0.000206;0.115;0.877;83.002;384TJj6XyHUyNlCbdgm6Sz;245995
0.507;0.297;-8.539;0.0595;0.924;0.0;0.151;0.551;95.092;1Cqp9TLiBtPXYkCLef2KL0;182053
0.834;0.689;-6.982;0.0337;0.0819;0.00743;0.0931;0.724;127.999;2gHC3sEHu1P8xzEI9YFY0d;384627
0.545;0.67;-8.81;0.0496;0.009;0.000822;0.0451;0.481;151.553;5e9TFTbltYBg2xThimr0rU;270213
0.399;0.0969;-12.578;0.0509;0.929;0.000168;0.121;0.0758;109.54;34xTFwjPQ1dC6uJmleno7x;177922
0.511;0.593;-6.129;0.0505;0.66;5.98e-06;0.0877;0.447;126.576;3u8k0qsYuz06lvTGGLClJg;196347
0.752;0.35;-11.352;0.0456;0.904;0.0362;0.0621;0.55;87.993;0ejF51HDSYwIX7vnehlOtD;218864
0.488;0.0374;-22.637;0.0403;0.947;0.000191;0.147;0.259;87.275;4xvpttkjjEH0l2hrizYla7;206067
0.775;0.522;-10.091;0.0773;0.852;0.00286;0.424;0.364;127.797;703hSWNgehWT0F16awNLr1;148014
0.539;0.481;-10.742;0.148;0.195;0.0616;0.103;0.443;178.091;644y88i3U334LMhPoZTcDT;206352
0.849;0.361;-10.057;0.0641;0.692;0.00673;0.14;0.553;137.539;1QIIQ1B2syNBSvQULkXgTa;214160
0.629;0.572;-9.332;0.0307;0.32;0.000853;0.109;0.182;93.997;3ieLey98V9mIIh3W9gBlPF;188960
0.729;0.461;-6.412;0.349;0.476;0.00453;0.149;0.485;82.188;3Lqsck2T1MyyRmK1993Obk;188186
0.517;0.458;-11.095;0.348;0.956;0.131;0.121;0.49;185.081;1nxg5kRPqyedhJFY7TSrvS;156082
0.617;0.119;-16.968;0.321;0.863;0.0;0.119;0.592;102.649;5KIIAIqQzGrfMmY2BuNyFR;122000
0.713;0.235;-13.42;0.0856;0.899;1.98e-06;0.186;0.366;114.893;3yAlkOEMjk2rH2hZTgvfoH;144963
0.375;0.378;-12.547;0.158;0.85;0.0464;0.12;0.0996;82.631;6LPe0jjqIhdiyVJxSlNSG9;162363
